	geneID	symbol	G7F_mean	G7FNSen_mean	G7FSen_mean	G7M_mean	G7MNSen_mean	G7MSen_mean	G7S_mean	G7SNSen_mean	G7SSen_mean	Y7F_mean	Y7FNSen_mean	Y7FSen_mean	Y7M_mean	Y7MNSen_mean	Y7MSen_mean	Y7S_mean	Y7SNSen_mean	Y7SSen_mean	G3F_mean	G3FNSen_mean	G3FSen_mean	G3M_mean	G3MNSen_mean	G3MSen_mean	G3S_mean	G3SNSen_mean	G3SSen_mean	Y3F_mean	Y3FNSen_mean	Y3FSen_mean	Y3M_mean	Y3MNSen_mean	Y3MSen_mean	Y3SNSen_mean	Y3SSen_mean	Y3S_mean	ranking
100	ENSMUSG00000051116	Gm8121	5.752015666666668	7.468951333333332	11.840066666666663	2.755945	3.646623333333333	7.847777000000001	1.7723111333333332	3.9703653333333335	8.525557666666666	9.295107666666668	11.224890666666669	10.91973	7.275309666666666	7.341656333333333	11.602012	4.505016666666666	8.745507333333334	10.366182	7.533103666666666	9.273763	12.133392999999998	7.294557333333334	5.947043000000002	8.236442333333333	6.932651333333332	7.488801	12.034003333333333	9.262220333333332	7.986661000000002	10.875335333333336	8.659595	3.012783933333333	8.545306333333334	6.454800333333334	10.016041	2.7098560000000003	22
113	ENSMUSG00000003363	Pld3	23.828470000000003	38.74796333333335	71.70985666666667	137.47673666666665	98.33370333333336	557.5223666666666	11.439771666666667	30.837840000000003	58.70513999999999	36.25492333333333	45.17695666666666	72.35745666666666	74.42483666666666	104.26779333333332	139.2009666666667	8.418584666666666	33.25911333333334	70.47577333333334	32.01064	26.10743333333333	43.73760333333333	237.83996666666667	47.95272333333333	205.24620666666667	16.0389	33.75049333333333	54.65502666666666	19.90304	41.706543333333336	53.64883	87.63202666666668	64.07772666666666	402.0414	22.379303333333336	56.47101333333333	9.693261499999998	23
12	ENSMUSG00000071072	Ptges3	59.765330000000006	48.14204333333333	35.52062333333333	58.11673333333334	36.81637	33.522870000000005	75.81897666666667	45.88098333333334	34.42127	30.67141666666667	27.65624333333333	24.20179	42.38609	37.16650666666667	31.65822	45.93073666666666	34.44520666666667	23.17329666666667	42.028223333333344	47.89346666666666	33.18696333333333	44.23399333333333	55.52746	31.6655	48.39236	71.25760666666667	43.70653	44.97119	35.96799	28.571716666666664	51.53432333333333	57.6354	26.24182333333333	67.96562	44.89743333333333	55.647415	24
125	ENSMUSG00000031839	Hsbp1	138.68633333333332	170.10783333333333	314.96043333333336	188.27303333333336	236.43606666666668	330.1423	123.68758333333334	216.2869	278.22343333333333	260.29836666666665	372.6268333333333	449.92263333333335	350.30456666666674	312.17133333333334	418.7432999999999	173.79663333333335	351.0436	394.5652	224.56006666666667	261.9107666666667	269.08233333333334	319.1859	202.353	332.63359999999994	158.05136666666667	160.00053333333332	265.18493333333333	242.3124666666667	228.1126	296.0076	243.5011	212.93923333333333	306.01146666666665	180.4589333333333	293.4420666666667	119.1168	25
116	ENSMUSG00000063550	Nup98	27.95452333333333	10.848511666666669	8.21084	17.325106666666667	6.154878333333333	8.565747666666667	32.585366666666665	16.977298666666666	11.815149	14.243693333333333	7.419059333333332	5.8447976666666674	10.297955666666669	7.094821666666667	5.296157666666667	29.139146666666665	14.150537666666663	7.152155333333333	18.16147	6.208393000000001	4.426983666666667	8.751914333333332	6.380858333333332	5.794557333333334	33.909886666666665	10.286575	4.501373333333333	13.606483333333331	6.954383666666668	5.064511666666666	7.549038333333333	6.428677333333333	5.403138666666666	10.77899	6.382340666666668	29.809225	26
90	ENSMUSG00000028693	Nasp	33.212986666666666	45.85665	25.03602	46.02531333333334	42.41923	38.97418333333333	27.74368	32.827729999999995	26.38182	30.36179	26.19402	16.60621	52.37863666666666	32.15018	28.18776333333333	33.89255333333333	27.466390000000004	21.542016666666665	28.57985333333333	23.15322	17.785423333333327	31.602899999999995	38.613423333333344	25.832066666666663	27.35831666666667	43.86579	28.523830000000004	25.28043333333333	15.268643333333335	14.033396666666668	33.29586333333334	29.33587999999999	18.855096666666665	38.40592	24.31607	30.48625	27
17	ENSMUSG00000009185	Ccl8	87.52659333333332	60.00323666666667	386.4727666666667	12.487880666666667	2366.56612	1384.8428333333334	2.876041523333333	26.818933000000005	157.8422523333333	129.57488999999998	115.18467	250.53296666666665	3860.8086666666654	456.12043333333327	7878.220666666667	3.711019966666667	10.617333666666667	201.07346	158.77810333333332	58.78085333333333	559.9084166666668	14023.713333333331	387.3160003333333	3531.0640000000008	16.500784333333332	105.02540666666664	1301.4307333333334	102.26885333333333	27.02458	323.1004	2613.8903333333333	17.710759033333332	1162.1967	5.1158648000000015	135.03097233333332	2.9546615000000003	28
86	ENSMUSG00000081483	Gm12445	4.435904333333333	3.997989	3.2478433333333334	4.044827333333333	3.014993333333333	2.491002	6.493608666666668	3.9805456666666665	2.5383526666666665	3.96317	2.475702666666667	2.7874766666666666	2.994863333333333	1.5081174666666666	1.9693953333333327	5.901919	2.4497576666666667	2.2887983333333333	4.241786333333334	2.4696416666666665	2.381358333333333	3.268527666666666	0.7330270000000001	1.7707118000000002	6.677445666666667	3.766460666666666	1.2686453666666668	4.275033333333333	2.600749	2.2805596666666665	2.9454856666666664	1.0294474333333332	2.010473333333333	4.66594	2.948646333333333	7.6671355	29
29	ENSMUSG00000006717	Acot13	27.88731333333333	42.01106666666667	49.95802666666666	34.42522666666667	38.01852	68.67738333333334	16.048939	22.25072	68.82118	41.160246666666666	49.59780333333333	65.99826333333333	111.14381666666668	123.94013333333332	146.72777333333332	19.005678666666668	43.67037	61.01069333333334	35.235783333333345	42.67445333333333	49.19784000000001	90.60010333333332	47.42695333333333	78.63019999999999	23.407870000000003	29.03409666666667	55.75017333333333	33.578786666666666	47.94145	45.14262333333333	69.02019	34.13644	96.24322	40.29192666666667	60.90648666666666	16.975524999999998	30
104	ENSMUSG00000029571	Tmem106b	9.039087	7.754086333333332	13.777199666666665	5.519168666666666	7.522958333333332	7.816380666666667	2.247559666666666	5.963925	12.238854666666668	7.433094666666666	12.34782	12.800933333333331	5.234966666666667	4.638990333333333	7.896563666666666	2.0900096729999995	4.932855	7.321104666666668	12.729223333333332	13.618	15.094870000000002	6.152206	3.8747177666666666	10.230836333333333	4.036020333333333	3.379979333333333	10.547847	14.882406666666668	12.755676666666664	15.107706666666664	5.697050999999999	2.3638244	9.988234333333333	3.911517	9.08444	5.508538	31
