	ensID	symbol
200	ENSMUSG00000100075	1700018L02Rik
201	ENSMUSG00000046145	1700018M17Rik
202	ENSMUSG00000060715	1700019A02Rik
203	ENSMUSG00000043629	1700019D03Rik
204	ENSMUSG00000086202	1700019E08Rik
205	ENSMUSG00000107027	1700019F05Rik
206	ENSMUSG00000085416	1700019G24Rik
207	ENSMUSG00000059695	1700019M22Rik
208	ENSMUSG00000026931	1700019N19Rik
209	ENSMUSG00000099808	1700019P21Rik
210	ENSMUSG00000027409	1700020A23Rik
211	ENSMUSG00000100937	1700020D05Rik
212	ENSMUSG00000101801	1700020G17Rik
213	ENSMUSG00000085438	1700020I14Rik
214	ENSMUSG00000035085	1700020L24Rik
215	ENSMUSG00000100146	1700020M21Rik
216	ENSMUSG00000050844	1700020N01Rik
217	ENSMUSG00000059690	1700020N15Rik
218	ENSMUSG00000100253	1700020N18Rik
219	ENSMUSG00000037535	1700021A07Rik
220	ENSMUSG00000105426	1700021F02Rik
221	ENSMUSG00000019797	1700021F05Rik
222	ENSMUSG00000027518	1700021F07Rik
223	ENSMUSG00000107053	1700021F13Rik
224	ENSMUSG00000086890	1700021J08Rik
225	ENSMUSG00000086955	1700021L23Rik
226	ENSMUSG00000087343	1700021N21Rik
227	ENSMUSG00000096796	1700021P04Rik
228	ENSMUSG00000038165	1700022A21Rik
229	ENSMUSG00000099751	1700022A22Rik
230	ENSMUSG00000099983	1700022E09Rik
231	ENSMUSG00000099360	1700022H16Rik
232	ENSMUSG00000028451	1700022I11Rik
233	ENSMUSG00000097523	1700022N22Rik
234	ENSMUSG00000087393	1700023C21Rik
235	ENSMUSG00000100000	1700023F02Rik
236	ENSMUSG00000020940	1700023F06Rik
237	ENSMUSG00000103503	1700023G09Rik
238	ENSMUSG00000089827	1700023H06Rik
239	ENSMUSG00000052334	1700024B05Rik
240	ENSMUSG00000099994	1700024B18Rik
241	ENSMUSG00000072473	1700024G13Rik
242	ENSMUSG00000069890	1700024J04Rik
243	ENSMUSG00000045022	1700024P04Rik
244	ENSMUSG00000106947	1700025A08Rik
245	ENSMUSG00000101113	1700025B11Rik
246	ENSMUSG00000078935	1700025C18Rik
247	ENSMUSG00000086760	1700025D23Rik
248	ENSMUSG00000024728	1700025F22Rik
249	ENSMUSG00000100558	1700025F24Rik
250	ENSMUSG00000032666	1700025G04Rik
251	ENSMUSG00000101888	1700025H01Rik
252	ENSMUSG00000099747	1700025K24Rik
253	ENSMUSG00000100175	1700025M24Rik
254	ENSMUSG00000090200	1700025N21Rik
255	ENSMUSG00000100121	1700025N23Rik
256	ENSMUSG00000028244	1700025O08Rik
257	ENSMUSG00000086379	1700026D11Rik
258	ENSMUSG00000101854	1700026F02Rik
259	ENSMUSG00000073976	1700026J12Rik
260	ENSMUSG00000097716	1700026J14Rik
261	ENSMUSG00000084864	1700027A07Rik
262	ENSMUSG00000101968	1700027A15Rik
263	ENSMUSG00000100911	1700027F09Rik
264	ENSMUSG00000100799	1700027H10Rik
265	ENSMUSG00000098304	1700027I24Rik
266	ENSMUSG00000099417	1700028B04Rik
267	ENSMUSG00000101683	1700028D13Rik
268	ENSMUSG00000097321	1700028E10Rik
269	ENSMUSG00000056821	1700028I16Rik
270	ENSMUSG00000038782	1700028J19Rik
271	ENSMUSG00000089798	1700028K03Rik
272	ENSMUSG00000101334	1700028M03Rik
273	ENSMUSG00000078635	1700028N14Rik
274	ENSMUSG00000033053	1700028P14Rik
275	ENSMUSG00000086823	1700028P15Rik
276	ENSMUSG00000100759	1700029B22Rik
277	ENSMUSG00000102834	1700029B24Rik
278	ENSMUSG00000100557	1700029E06Rik
279	ENSMUSG00000052075	1700029F12Rik
280	ENSMUSG00000031452	1700029H14Rik
281	ENSMUSG00000044916	1700029I15Rik
282	ENSMUSG00000099968	1700029J03Rik
283	ENSMUSG00000071103	1700029J07Rik
284	ENSMUSG00000101189	1700029M03Rik
285	ENSMUSG00000086788	1700029M20Rik
286	ENSMUSG00000098144	1700029N11Rik
287	ENSMUSG00000061633	1700029P11Rik
288	ENSMUSG00000085333	1700030A11Rik
289	ENSMUSG00000091071	1700030C10Rik
290	ENSMUSG00000099759	1700030C10Rik
291	ENSMUSG00000086459	1700030C12Rik
292	ENSMUSG00000087148	1700030C14Rik
293	ENSMUSG00000099869	1700030F04Rik
294	ENSMUSG00000103387	1700030I03Rik
295	ENSMUSG00000031847	1700030J22Rik
296	ENSMUSG00000052794	1700030K09Rik
297	ENSMUSG00000099508	1700030L20Rik
298	ENSMUSG00000097424	1700030M09Rik
299	ENSMUSG00000100969	1700030N03Rik
300	ENSMUSG00000106800	1700030N18Rik
301	ENSMUSG00000100198	1700030O20Rik
302	ENSMUSG00000092239	1700031A10Rik
303	ENSMUSG00000032894	1700031F05Rik
304	ENSMUSG00000047046	1700031F10Rik
305	ENSMUSG00000099863	1700031L13Rik
306	ENSMUSG00000099353	1700031M16Rik
307	ENSMUSG00000100315	1700031P21Rik
308	ENSMUSG00000097302	1700034B16Rik
309	ENSMUSG00000024532	1700034E13Rik
310	ENSMUSG00000097962	1700034G24Rik
311	ENSMUSG00000055833	1700034H15Rik
312	ENSMUSG00000074619	1700034I23Rik
313	ENSMUSG00000103287	1700034J04Rik
314	ENSMUSG00000040163	1700034J05Rik
315	ENSMUSG00000100294	1700034K08Rik
316	ENSMUSG00000097893	1700034P13Rik
317	ENSMUSG00000095956	1700036A12Rik
318	ENSMUSG00000099995	1700036G14Rik
319	ENSMUSG00000086185	1700036O09Rik
320	ENSMUSG00000085542	1700037C06Rik
321	ENSMUSG00000005983	1700037C18Rik
322	ENSMUSG00000097540	1700037F24Rik
323	ENSMUSG00000027327	1700037H04Rik
324	ENSMUSG00000092369	1700039E22Rik
325	ENSMUSG00000102536	1700039I01Rik
326	ENSMUSG00000097933	1700039M10Rik
327	ENSMUSG00000104086	1700039M15Rik
328	ENSMUSG00000097515	1700040D17Rik
329	ENSMUSG00000100667	1700040F15Rik
330	ENSMUSG00000101568	1700040F17Rik
331	ENSMUSG00000103840	1700040K01Rik
332	ENSMUSG00000100282	1700041C23Rik
333	ENSMUSG00000054822	1700041G16Rik
334	ENSMUSG00000104845	1700041I07Rik
335	ENSMUSG00000087010	1700041M05Rik
336	ENSMUSG00000100857	1700041M19Rik
337	ENSMUSG00000105991	1700042D02Rik
338	ENSMUSG00000078593	1700042G07Rik
339	ENSMUSG00000087044	1700042G15Rik
340	ENSMUSG00000086391	1700042O10Rik
341	ENSMUSG00000099911	1700044C05Rik
342	ENSMUSG00000100297	1700044K03Rik
343	ENSMUSG00000078492	1700045H11Rik
344	ENSMUSG00000104526	1700045I11Rik
345	ENSMUSG00000085561	1700046C09Rik
346	ENSMUSG00000085437	1700047A11Rik
347	ENSMUSG00000085549	1700047F07Rik
348	ENSMUSG00000099349	1700047G03Rik
349	ENSMUSG00000094103	1700047I17Rik2
350	ENSMUSG00000087347	1700047K16Rik
351	ENSMUSG00000101762	1700047L14Rik
352	ENSMUSG00000100147	1700047M11Rik
353	ENSMUSG00000102356	1700047N06Rik
354	ENSMUSG00000105274	1700048F04Rik
355	ENSMUSG00000085637	1700048M11Rik
356	ENSMUSG00000043773	1700048O20Rik
357	ENSMUSG00000085077	1700049E15Rik
358	ENSMUSG00000079271	1700049E17Rik1
359	ENSMUSG00000090440	1700049E17Rik2
360	ENSMUSG00000101553	1700049E22Rik
361	ENSMUSG00000011052	1700049J03Rik
362	ENSMUSG00000043859	1700049L16Rik
363	ENSMUSG00000086951	1700051A21Rik
364	ENSMUSG00000103341	1700051O22Rik
365	ENSMUSG00000105297	1700052H01Rik
366	ENSMUSG00000101912	1700052I22Rik
367	ENSMUSG00000099681	1700052K11Rik
368	ENSMUSG00000099988	1700054A03Rik
369	ENSMUSG00000097001	1700054K02Rik
370	ENSMUSG00000100219	1700054K19Rik
371	ENSMUSG00000085889	1700054M17Rik
372	ENSMUSG00000104183	1700054O19Rik
373	ENSMUSG00000093616	1700055C04Rik
374	ENSMUSG00000070997	1700055D18Rik
375	ENSMUSG00000044854	1700056E22Rik
376	ENSMUSG00000084792	1700056N10Rik
377	ENSMUSG00000074139	1700057G04Rik
378	ENSMUSG00000084757	1700057H15Rik
379	ENSMUSG00000086007	1700057H21Rik
380	ENSMUSG00000089636	1700058P15Rik
381	ENSMUSG00000086887	1700060C16Rik
382	ENSMUSG00000078957	1700060C20Rik
383	ENSMUSG00000084970	1700060J05Rik
384	ENSMUSG00000099407	1700060O08Rik
385	ENSMUSG00000102060	1700061E17Rik
386	ENSMUSG00000085759	1700061E18Rik
387	ENSMUSG00000085580	1700061F12Rik
388	ENSMUSG00000024209	1700061G19Rik
389	ENSMUSG00000084948	1700061H18Rik
390	ENSMUSG00000028009	1700061I17Rik
391	ENSMUSG00000086366	1700061J23Rik
392	ENSMUSG00000100062	1700063A18Rik
393	ENSMUSG00000100837	1700063D05Rik
394	ENSMUSG00000040657	1700063H04Rik
395	ENSMUSG00000099266	1700063H06Rik
396	ENSMUSG00000103463	1700063I16Rik
397	ENSMUSG00000102036	1700063K16Rik
398	ENSMUSG00000101978	1700063O14Rik
399	ENSMUSG00000082766	1700064H15Rik
400	ENSMUSG00000100681	1700064J06Rik
401	ENSMUSG00000100211	1700064M15Rik
402	ENSMUSG00000096655	1700065D16Rik
403	ENSMUSG00000099435	1700065I16Rik
404	ENSMUSG00000107341	1700065J11Rik
405	ENSMUSG00000100872	1700065J18Rik
406	ENSMUSG00000100134	1700065O20Rik
407	ENSMUSG00000101634	1700066B17Rik
408	ENSMUSG00000073598	1700066B19Rik
409	ENSMUSG00000101810	1700066C05Rik
410	ENSMUSG00000097717	1700066J03Rik
411	ENSMUSG00000038323	1700066M21Rik
412	ENSMUSG00000099605	1700066N21Rik
413	ENSMUSG00000085800	1700066O22Rik
414	ENSMUSG00000099378	1700067G17Rik
415	ENSMUSG00000046408	1700067K01Rik
416	ENSMUSG00000021545	1700067P10Rik
417	ENSMUSG00000053081	1700069B07Rik
418	ENSMUSG00000042184	1700069L16Rik
419	ENSMUSG00000086376	1700071G01Rik
420	ENSMUSG00000080980	1700071K01Rik
421	ENSMUSG00000090307	1700071M16Rik
422	ENSMUSG00000100487	1700072B07Rik
423	ENSMUSG00000101702	1700072G22Rik
424	ENSMUSG00000087204	1700073E17Rik
425	ENSMUSG00000102231	1700074A21Rik
426	ENSMUSG00000099872	1700074H08Rik
427	ENSMUSG00000029883	1700074P13Rik
428	ENSMUSG00000032566	1700080E11Rik
429	ENSMUSG00000086771	1700080G11Rik
430	ENSMUSG00000084859	1700080N15Rik
431	ENSMUSG00000031118	1700080O16Rik
432	ENSMUSG00000105673	1700081B01Rik
433	ENSMUSG00000100573	1700081H04Rik
434	ENSMUSG00000023737	1700082M22Rik
435	ENSMUSG00000100668	1700083H02Rik
436	ENSMUSG00000086016	1700084C06Rik
437	ENSMUSG00000100747	1700084E18Rik
438	ENSMUSG00000099639	1700084F23Rik
439	ENSMUSG00000058101	1700084J12Rik
440	ENSMUSG00000057805	1700084M14Rik
441	ENSMUSG00000100890	1700085C21Rik
442	ENSMUSG00000020548	1700086D15Rik
443	ENSMUSG00000071265	1700086L19Rik
444	ENSMUSG00000097080	1700086O06Rik
445	ENSMUSG00000085085	1700086P04Rik
446	ENSMUSG00000033029	1700088E04Rik
447	ENSMUSG00000090462	1700091H14Rik
448	ENSMUSG00000086781	1700092C02Rik
449	ENSMUSG00000092499	1700092C10Rik
450	ENSMUSG00000085353	1700092C17Rik
451	ENSMUSG00000084811	1700092E19Rik
452	ENSMUSG00000078600	1700092K14Rik
453	ENSMUSG00000090840	1700092M07Rik
454	ENSMUSG00000020286	1700093K21Rik
455	ENSMUSG00000101695	1700094J05Rik
456	ENSMUSG00000105337	1700094M23Rik
457	ENSMUSG00000100430	1700095A13Rik
458	ENSMUSG00000086046	1700095A21Rik
459	ENSMUSG00000098230	1700095B10Rik
460	ENSMUSG00000085407	1700095J03Rik
461	ENSMUSG00000084861	1700095J07Rik
462	ENSMUSG00000084804	1700095J12Rik
463	ENSMUSG00000099630	1700096J18Rik
464	ENSMUSG00000101856	1700096K18Rik
465	ENSMUSG00000099474	1700097N02Rik
466	ENSMUSG00000091906	1700099I09Rik
467	ENSMUSG00000101051	1700100L14Rik
468	ENSMUSG00000097675	1700101I11Rik
469	ENSMUSG00000045815	1700101I19Rik
470	ENSMUSG00000102096	1700101O22Rik
471	ENSMUSG00000032611	1700102P08Rik
472	ENSMUSG00000049476	1700104B16Rik
473	ENSMUSG00000099923	1700105P06Rik
474	ENSMUSG00000101009	1700108F19Rik
475	ENSMUSG00000100585	1700108J01Rik
476	ENSMUSG00000106034	1700108N06Rik
477	ENSMUSG00000084837	1700108N11Rik
478	ENSMUSG00000101505	1700109G14Rik
479	ENSMUSG00000085044	1700109G15Rik
480	ENSMUSG00000008307	1700109H08Rik
481	ENSMUSG00000101261	1700109I08Rik
482	ENSMUSG00000097267	1700109K24Rik
483	ENSMUSG00000099384	1700110C19Rik
484	ENSMUSG00000079407	1700110I01Rik
485	ENSMUSG00000087047	1700110K17Rik
486	ENSMUSG00000029837	1700111E14Rik
487	ENSMUSG00000100511	1700111N16Rik
488	ENSMUSG00000091329	1700112D23Rik
489	ENSMUSG00000101574	1700112H15Rik
490	ENSMUSG00000086632	1700112J05Rik
491	ENSMUSG00000097527	1700112J16Rik
492	ENSMUSG00000087510	1700112K13Rik
493	ENSMUSG00000096935	1700113A16Rik
494	ENSMUSG00000102822	1700113B19Rik
495	ENSMUSG00000047129	1700113H08Rik
496	ENSMUSG00000092276	1700116B05Rik
497	ENSMUSG00000100593	1700119H24Rik
498	ENSMUSG00000082488	1700119I11Rik
499	ENSMUSG00000045391	1700120B22Rik
500	ENSMUSG00000100599	1700120C14Rik
501	ENSMUSG00000098086	1700120C18Rik
502	ENSMUSG00000086333	1700120E14Rik
503	ENSMUSG00000100717	1700120G07Rik
504	ENSMUSG00000086068	1700120G11Rik
